name,height,slope,rainfall,historical_pp
Aa,13,10,248.92,195.84
Ba,65,12,100.6,69.12
Bb,53,14.87,77.98,117.86
Cc,133,18,248.92,195.84
Dd,63,12.456,20,33.6
Ee,84,11.2,10,24.2
Ff,97,20.45,248.92,195.84
Gg,94,18,30,10.9
Hh,98,12.33,248.92,195.84
Ii,76,13,5,0
Jj,80,14.89,0,0
Kk,76,15.67,248.92,195.84
Ll,65,12,7,10
Mm,53,14.87,22,7.2
Nn,13,10,34,22.4
Oo,92,22.89,248.92,195.84
Pp,65,13.55,248.92,195.84
Qq,133,18,40.9,50
Rr,97,20.45,23.89,10.3
Ss,98,12.33,50,30
Tt,80,14.89,248.92,195.84
Uu,80,12.44,248.92,195.84
Vv,94,20.99,88,195.84
Ww,92,22.89,0,11.9
Xx,65,13.55,11,16.3
Yy,63,10.44,248.92,195.84
Zz,84,23.77,77.98,117.8
Aaa,94,10,248.92,195.84
Bbb,85,30,77.98,117.8
Ccc,62,22.456,77.98,117.8
Ddd,97,11.689,248.92,195.84
Eee,93,20.478,77.98,117.8
Fff,83,12.2,33,10
Ggg,18,23.4,15,22.98
Hhh,14,14.6,40,23.65
Iii,73,10.231,77.98,117.8
Jjj,74,25,70.3,134.5
Kkk,61,14.73,81.5,123.7
